year,population
1979,4380585755
1980,4458411534
1981,4537845777
1982,4618776168
1983,4701530843
1984,4786483862
1985,4873781796
1986,4963633228
1987,5055636132
1988,5148556956
1989,5240735117
1990,5330943460
1991,5418758803
1992,5504401149
1993,5588094837
1994,5670319703
1995,5751474416
1996,5831565020
1997,5910566295
1998,5988846103
1999,6066867391
2000,6145006989
2001,6223412158
2002,6302149639
2003,6381408987
2004,6461370865
2005,6542159383
2006,6623847913
2007,6706418593
2008,6789771253
2009,6873741054
2010,6958169159
2011,7043008586
2012,7128176935
2013,7213426452
2014,7298453033
2015,7383008820
2016,7466964280
